Name,Size,Type,Align.,Law vs. Chaos Align.,Good vs. Bad Align.,AC,HP,STR,DEX,CON,INT,WIS,CHA,CR,Source Book,Primary Language,Languages Spoken,Ground Speed,Fly Speed,Burrow Speed,Climb Speed,Swim Speed,Acrobatics,Animal Handling,Arcana,Athletics,Deception,History,Insight,Intimidation,Investigation,Medicine,Nature,Perception,Performance,Persuasion,Religion,Sleight of Hand,Stealth,Survival,grappledimmu,radiantimmu,fireres,restrainedimmu,nonsilveredimmu,spellres,nonmagicalres,piercingres,charmedimmu,necroticres,radiantweak,magicalres,acidimmu,thunderimmu,bludgeoningweak,psychicweak,forceimmu,blindedimmu,nonsilveredres,nonadamantineimmu,necroticimmu,slashingimmu,radiantres,nonmagicalimmu,unconsciousimmu,frightenedimmu,bludgeoningres,paralyzedimmu,lightningres,coldres,psychicimmu,lightningimmu,coldweak,nonadamantineres,stunnedimmu,thunderweak,psychicres,fireimmu,poisonres,poisonedres,darknessres,deafenedimmu,exhaustionimmu,slashingres,poisonedimmu,coldimmu,proneimmu,thunderres,fireweak,poisonimmu,magicalpiercingweak,acidres,petrifiedimmu,darkvision,blindsight,tremorsense,truesight
"Animated Object, Armor",Medium,Construct,U,,,18,33,14,11,13,1,3,1.0,1.0,Monster Manual,None,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0
"Animated Object, Broom of Attack",Small,Construct,U,,,15,17,10,17,10,1,5,1.0,0.25,Curse of Strahd,None,1,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0
"Animated Object, Flying Sword",Small,Construct,U,,,17,17,12,15,11,1,5,1.0,0.25,Monster Manual,None,1,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0
"Animated Object, Rug of Smothering",Large,Construct,U,,,12,33,17,14,10,1,3,1.0,2.0,Monster Manual,None,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
"Animated Object, Table",Large,Construct,U,,,15,39,18,8,13,1,3,1.0,2.0,Tales from the Yawning Portal,None,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0
Ankheg,Large,Monstrosity,U,,,14,39,17,11,13,1,13,6.0,2.0,Monster Manual,None,1,30,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Assassin Vine,Large,Plant,U,,,13,85,18,10,16,1,10,1.0,3.0,Tomb of Annihilation,None,1,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"Assorted Beast, Aurochs",Large,Beast,U,,,11,38,20,10,19,2,12,5.0,2.0,Volo's Guide to Monsters,None,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Assorted Beast, Cattle",Large,Beast,U,,,10,15,18,10,14,2,10,4.0,0.25,Volo's Guide to Monsters,None,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Assorted Beast, Dolphin",Medium,Beast,U,,,12,11,14,13,13,6,12,7.0,0.13,Volo's Guide to Monsters,None,1,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Assorted Beast, Swarm of Rot Grubs",Medium,Beast,U,,,8,22,2,7,10,1,2,1.0,0.5,Volo's Guide to Monsters,None,1,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0
Astral Dreadnought,Gargantuan,Monstrosity,U,,,20,297,28,7,25,5,14,18.0,21.0,Mordenkainen's Tome of Foes,None,1,15,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0
Atropal,Huge,Undead,NE,N,E,7,225,19,5,22,25,19,24.0,13.0,Tomb of Annihilation,Celestial,1,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1
Awakened Zurkhwood,Huge,Plant,U,,,13,59,19,6,15,10,10,7.0,2.0,Out of the Abyss,Any,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Azer,Medium,Elemental,LN,L,N,17,39,17,12,15,12,13,10.0,2.0,Monster Manual,Ignan,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Baba Lysaga's Creeping Hut,Gargantuan,Construct,U,,,16,263,26,7,20,1,3,3.0,11.0,Curse of Strahd,None,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0
Balhannoth,Large,Aberration,CE,C,E,17,114,17,8,18,6,15,8.0,11.0,Mordenkainen's Tome of Foes,Deep Speech,2,25,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Banderhobb,Large,Monstrosity,NE,N,E,15,84,20,12,20,11,14,8.0,5.0,Volo's Guide to Monsters,Common,2,30,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Banshee,Medium,Undead,CE,C,E,12,58,1,14,10,12,11,17.0,4.0,Monster Manual,Common,2,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,1,1,0,0,0
Barghest,Large,Fiend,NE,N,E,17,90,19,15,14,13,12,14.0,4.0,Volo's Guide to Monsters,Abyssal,5,60,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0
Basilisk,Medium,Monstrosity,U,,,15,52,16,8,15,2,8,7.0,3.0,Monster Manual,Infernal,2,30,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
Behir,Huge,Monstrosity,NE,N,E,17,168,23,16,18,7,16,12.0,11.0,Monster Manual,Draconic,1,50,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Beholder,Large,Aberration,LE,L,E,18,180,10,14,18,17,15,17.0,13.0,Monster Manual,Infernal,2,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
"Beholder, Death Kiss",Large,Aberration,NE,N,E,16,161,18,14,18,10,12,10.0,10.0,Volo's Guide to Monsters,Deep Speech,2,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"Beholder, Death Tyrant",Large,Undead,LE,L,E,19,187,10,14,14,19,15,19.0,14.0,Monster Manual,Draconic,1,50,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Beholder, Gauth",Medium,Aberration,LE,L,E,15,67,10,14,16,15,15,13.0,6.0,Volo's Guide to Monsters,Deep Speech,2,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"Beholder, Gazer",Tiny,Aberration,NE,N,E,13,13,3,17,14,3,10,7.0,0.5,Volo's Guide to Monsters,None,1,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"Beholder, Spectator",Medium,Aberration,LN,L,N,14,39,8,14,14,13,14,11.0,3.0,Monster Manual,Deep Speech,2,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Berbalang,Medium,Aberration,NE,N,E,14,38,9,16,9,17,11,10.0,2.0,Mordenkainen's Tome of Foes,All,1,30,40,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Black Earth Guard,Medium,Humanoid,NE,N,E,18,39,17,11,14,10,10,9.0,2.0,Princes of the Apocalypse,Common,1,30,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Black Earth Priest,Medium,Humanoid,NE,N,E,17,45,15,11,14,12,10,16.0,3.0,Princes of the Apocalypse,Common,2,30,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Black Earth, Burrowshark",Medium,Humanoid,NE,N,E,18,82,18,12,16,10,11,13.0,4.0,Princes of the Apocalypse,Common,1,30,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Black Earth, Sacred Stone Monk",Medium,Humanoid,LE,L,E,14,22,13,15,12,10,14,9.0,0.5,Princes of the Apocalypse,Common,1,40,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Black Earth, Stonemelder",Medium,Humanoid,NE,N,E,17,75,15,10,16,12,11,17.0,4.0,Princes of the Apocalypse,Common,2,30,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Blight, Needle",Medium,Plant,NE,N,E,12,11,12,12,13,4,8,3.0,0.25,Monster Manual,Common,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Blight, Tree",Huge,Plant,NE,N,E,15,149,23,10,20,6,10,3.0,7.0,Curse of Strahd,Common,2,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Blight, Twig",Small,Plant,NE,N,E,13,4,6,13,12,4,8,3.0,0.13,Monster Manual,Common,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"Blight, Vine",Medium,Plant,NE,N,E,12,26,15,8,14,5,10,3.0,0.5,Monster Manual,Common,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Bodak,Medium,Undead,CE,C,E,15,58,15,16,15,7,12,12.0,6.0,Volo's Guide to Monsters,Abyssal,2,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
Boggle,Small,Fey,CN,C,N,14,18,8,18,13,6,12,7.0,0.13,Volo's Guide to Monsters,Sylvan,1,30,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Boneclaw,Large,Undead,CE,C,E,16,127,19,16,15,13,15,9.0,12.0,Mordenkainen's Tome of Foes,Common,2,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Bugbear,Medium,Humanoid,CE,C,E,16,27,15,14,13,8,11,9.0,1.0,Monster Manual,Common,2,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Bugbear Chief,Medium,Humanoid,CE,C,E,17,65,17,14,14,11,12,11.0,3.0,Monster Manual,Common,2,30,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Bulette,Large,Monstrosity,U,,,17,94,19,11,21,2,10,5.0,5.0,Monster Manual,None,1,40,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Bullywug,Medium,Humanoid,NE,N,E,15,11,12,12,13,7,10,7.0,0.25,Monster Manual,Own,1,20,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cadaver Collector,Large,Construct,LE,L,E,17,189,21,14,20,5,11,8.0,14.0,Mordenkainen's Tome of Foes,All,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0
Cambion,Medium,Fiend,ANY EVIL,,,19,82,18,18,16,14,12,16.0,5.0,Monster Manual,Abyssal,3,30,60,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
